BOOK,X,Y,FACET,TEXT
2500-2900 Felucca,2800,1000,fel,"2800, 1000"
2500-2900 Felucca,2900,100,fel,"2900, 100"
2500-2900 Felucca,2900,316,fel,"2900, 300"
2500-2900 Felucca,2900,400,fel,"2900, 400"
2500-2900 Felucca,2900,500,fel,"2900, 500"
2500-2900 Felucca,2900,600,fel,"2900, 600"
Stealable Rares Vol. 2,919,3995,ter,(5) Butcher Sign
Stealable Rares Vol. 2,2070,1297,mal,(5) Fletcher Sign
Stealable Rares Vol. 2,816,1057,ils,(5)Provisioner Sign
Stealable Rares Vol. 2,1368,3732,fel,(5)Bakery Sign
Stealable Rares Vol. 2,4424,1107,fel,(5)Reagent Sign
Stealable Rares Vol. 2,544,970,fel,(5)Healer Sign
Stealable Rares Vol. 2,576,1009,fel,(5)Woodworker Sign
Stealable Rares Vol. 2,2860,800,fel,(5)Bowyer Sign
Stealable Rares Vol. 2,1939,2701,fel,(5)Barber Sign
Stealable Rares Vol. 2,1852,2708,fel,(5)Mage Sign
Stealable Rares Vol. 2,608,2272,fel,(5)Shipwright Sign
Stealable Rares Vol. 2,3647,2601,fel,(5)Armorer Sign
Stealable Rares Vol. 2,568,2176,fel,(5)Inn Sign
Stealable Rares Vol. 2,592,2224,fel,(5)Provisioner Sign
Stealable Rares Vol. 2,2912,3516,fel,(5)Stables Sign
Stealable Rares Vol. 2,1163,1124,ils,(6)Plough
Stealable Rares Vol. 2,1190,1128,ils,(5)Blacksmith Sign
Stealable Rares Vol. 2,813,3398,ter,Tailor Sign
Stealable Rares Vol. 2,736,3483,ter,Inn Sign
Stealable Rares Vol. 2,495,536,ils,Rare Small Brazier
Stealable Rares Vol. 2,747,892,fel,Apple Tree Model
Stealable Rares Vol. 2,1473,1579,fel,Stacked Arrows
Stealable Rares Vol. 2,1252,589,ils,(5) Tinker Sign
Stealable Rares Vol. 2,1227,540,ils,(5) Rare Water Barrel
Tamable Creatures Vol. 2,895,3687,ter,Raptor go (SW)
Tamable Creatures Vol. 2,0,0,fel,Phoenix
Tamable Creatures Vol. 2,0,0,tra,Phoenix
Tamable Creatures Vol. 2,1727,974,mal,Reptalons
Tamable Creatures Vol. 2,40,981,ils,Reptalons
Tamable Creatures Vol. 2,223,1339,ils,Reptalon
Tamable Creatures Vol. 2,1288,778,ils,Ridgeback
Tamable Creatures Vol. 2,107,25,ils,Rockmite
Tamable Creatures Vol. 2,1013,3354,ter,Ruddy Boura go (SE)
Tamable Creatures Vol. 2,999,3077,ter,Ruddy Boura go (W)
Tamable Creatures Vol. 2,859,182,tok,Rune Beetles
Tamable Creatures Vol. 2,574,1657,ter,Saber-tooth Tiger
Tamable Creatures Vol. 2,491,1578,ter,Sabertooths
Tamable Creatures Vol. 2,500,1549,ils,Serpintine Dragons / Cu
Tamable Creatures Vol. 2,860,3948,ter,Stone Crab W
Tamable Creatures Vol. 2,0,0,tra,Shadow Wyrm (Trammel)
Tamable Creatures Vol. 2,0,0,fel,Shadow Wyrm (Felucca)
Tamable Creatures Vol. 2,1056,1688,tra,Swamp Dragon
Tamable Creatures Vol. 2,757,1016,ils,Swamp Dragon
Tamable Creatures Vol. 2,460,471,tok,Tsuki Wolves
Tamable Creatures Vol. 2,0,0,tra,White Wyrm (Trammel)
Tamable Creatures Vol. 2,0,0,fel,White Wyrm (Felucca)
Monster Guide R-S,413,251,mal,Restless Soul
Monster Guide R-S,1267,2328,fel,Revenant
Monster Guide R-S,1115,1113,tok,Revenant Lion
Monster Guide R-S,925,506,tok,Ronin
Monster Guide R-S,427,262,mal,Rotting Corpse
Monster Guide R-S,4195,3264,tra,Rotworm
Monster Guide R-S,774,223,tok,Rune Beetle
Monster Guide R-S,1301,1080,tra,Sagittarri
Monster Guide R-S,588,1644,tra,Saliva
Monster Guide R-S,351,1694,ter,Sand Vortex
Monster Guide R-S,1456,1475,ils,Satyr
Monster Guide R-S,1029,520,ils,Savage Rider
Monster Guide R-S,1029,520,ils,Savage Shaman
Monster Guide R-S,1047,497,ils,Savage Warrior
Monster Guide R-S,2042,218,tra,Savage Pack Wolf
Monster Guide R-S,1856,868,tra,Scorpion
Monster Guide R-S,4553,2328,tra,Sea Serpent
Monster Guide R-S,2386,836,tra,Searing Elemental
Monster Guide R-S,999,627,mal,Seeker of Adventure*
Monster Guide R-S,0,0,fel,Semidar
Monster Guide R-S,4195,3264,tra,Sentinel Spider
Monster Guide R-S,1003,494,tok,Serado the Awakened
Monster Guide R-S,479,1544,ils,Serpentine Dragon
Monster Guide R-S,4545,1337,tra,Shade
Monster Guide R-S,999,627,mal,Shadow Dweller*
Monster Guide R-S,1267,2328,fel,Shadow Fiend
Monster Guide R-S,1033,1156,ils,Shadow Iron Elemental
Monster Guide R-S,413,251,mal,Shadow Knight
Monster Guide R-S,3785,1096,tra,Shadow Wisp
Monster Guide R-S,0,0,tra,Shadow Wyrm
Monster Guide R-S,3785,1096,tra,Shimmering Effusion
Monster Guide R-S,1301,1080,tra,Silenii
Monster Guide R-S,1456,1475,ils,Silk
Monster Guide R-S,900,2263,fel,Silvani
Monster Guide R-S,34,215,ter,Silver Serpent
Monster Guide R-S,2068,1372,mal,Sir Patrick
Monster Guide R-S,1247,1509,ils,Skeletal Dragon
Monster Guide R-S,37,41,ter,Skeletal Dragon Renowned
Monster Guide R-S,0,0,fel,Skeletal Drake
Monster Guide R-S,1247,1509,ils,Skeletal Knight
Monster Guide R-S,37,41,ter,Skeletal Lich
Monster Guide R-S,2068,1372,mal,Skeletal Mage
Monster Guide R-S,999,627,mal,Skeletal Steed*
Monster Guide R-S,1381,1494,tra,Skeleton
Monster Guide R-S,1301,1080,tra,Skeletrex
Monster Guide R-S,1432,601,mal,Skittering Hopper
Monster Guide R-S,1024,3355,ter,Skree
Monster Guide R-S,4195,3264,tra,Slime
Bedlam Entry (Quest),2101,1376,mal,Aernya the Mistress of Admissions
Bedlam Entry (Quest),987,513,mal,Garrow the Mayor
Bedlam Entry (Quest),1549,1202,ils,"Unicorn, Pixie, Ki-rin forest"
Bedlam Entry (Quest),2066,1373,mal,Bedlam Entrance (West)
Bedlam Entry (Quest),2069,1371,mal,Bedlam Entrance (North)
Elf Heritage (Quest),4316,959,tra,Darius the Wise
Elf Heritage (Quest),1554,1193,ils,Arielle
Elf Heritage (Quest),1589,1192,ils,Bauble
Elf Heritage (Quest),1190,2461,tra,Bravehorn
Elf Heritage (Quest),1825,968,tra,Enigma
Elf Heritage (Quest),1671,604,tra,Huntsman
Elf Heritage (Quest),1721,262,tra,Maul
Elf Heritage (Quest),608,1713,tra,Strongroot
Elf Heritage (Quest),755,1009,tra,Sap of Sosaria
Champion Spawns,0,0,fel,Neira the Necromancer
Champion Spawns,0,0,fel,Barracoon the Piper
Champion Spawns,0,0,fel,Semidar
Champion Spawns,0,0,fel,Mephitis
Champion Spawns,903,2263,fel,Lord Oaks
Champion Spawns,633,1693,fel,Marble
Champion Spawns,654,1911,fel,Damwin Thicket
Champion Spawns,635,2189,fel,City of the Dead
Champion Spawns,1403,929,fel,Ice East
Champion Spawns,1087,2483,fel,Tortoise
Champion Spawns,1345,2429,fel,Khal Ankur
Champion Spawns,1345,2029,fel,Hopper's Bog
Champion Spawns,884,907,fel,Ice West
Champion Spawns,1016,1396,fel,Desert
Champion Spawns,944,1126,fel,Oasis
Champion Spawns,1385,1484,fel,Terra Sanctum
Champion Spawns,1656,1159,ils,Lord Oaks
Champion Spawns,482,354,ils,Valor
Champion Spawns,361,1004,ils,Humility
Champion Spawns,1453,1475,ils,Twaulo of the Glade
Champion Spawns,2068,1372,mal,Ilhenir the Stained
Champion Spawns,1728,975,mal,Meraktus the Tormented
Champion Spawns,1000,494,tok,Serado the Awakened
Champion Spawns,197,616,tok,Ramrod
Champion Spawns,0,0,fel,Primeval Lich
Champion Spawns,0,0,fel,Abyssal Infernal
Champion Spawns,0,0,fel,Dragon Turtle
Champion Spawns,487,1725,ter,Dragon Turtle
Champion Spawns,0,0,fel,Star Room
Champion Spawns,0,0,fel,Rikktor
Champion Spawns,402,247,tok,Yukio's Captor
Champion Spawns,2759,2165,fel,Davey Jones
Champion Spawns,0,0,tra,Khal Ankur
Champion Spawns,0,0,fel,Elemental Spawn
Champion Spawns,2335,1113,mal,Ancient Tinker
Skara Brae (Felucca),595,2152,fel,Bank of Skara Brae
Skara Brae (Felucca),578,2128,fel,Beasts of Burden
Skara Brae (Felucca),593,2216,fel,Bloody bowman
Skara Brae (Felucca),582,2192,fel,Bountiful Meats
Skara Brae (Felucca),633,2168,fel,Builders' Delight
Skara Brae (Felucca),617,2144,fel,Counselor's Guild
Skara Brae (Felucca),616,2232,fel,Falconer's Inn
Skara Brae (Felucca),616,2154,fel,Farmer's Market
Skara Brae (Felucca),649,2168,fel,Gore Galore
Skara Brae (Felucca),621,2224,fel,Healer of Skara Brae
Skara Brae (Felucca),746,2151,fel,Huntmaster
Skara Brae (Felucca),592,2170,fel,More Than Just Mail
Skara Brae (Felucca),656,2144,fel,Mystic Treasures
Skara Brae (Felucca),632,2185,fel,On Guard Armory
Skara Brae (Felucca),750,2208,fel,Orc Camp Site
Skara Brae (Felucca),576,2145,fel,Rangers' Guild
Skara Brae (Felucca),745,2160,fel,Rangers' Guild
Skara Brae (Felucca),568,2177,fel,Shattered Skull
Skara Brae (Felucca),648,2192,fel,Shear Pleasure
Skara Brae (Felucca),619,2275,fel,Skara Brae Dock
Skara Brae (Felucca),648,2235,fel,Skara Brae Docks
Skara Brae (Felucca),679,2239,fel,"Skara Brae Ferry ""Cross"""
Skara Brae (Felucca),576,2209,fel,Skara Brae Town Hall
Skara Brae (Felucca),592,2225,fel,Sundry Supplies
Skara Brae (Felucca),608,2273,fel,Superior Ships
East Britain (Felucca),1660,1648,fel,A Girl's Best Friend
East Britain (Felucca),1640,1688,fel,Artistic Armor
East Britain (Felucca),1592,1562,fel,Cavalry Guild
East Britain (Felucca),1557,1612,fel,Chamber of Virtue
East Britain (Felucca),1633,1672,fel,Counselor's Guild
East Britain (Felucca),1526,1674,fel,Cypress Bridge
East Britain (Felucca),1615,1636,fel,East Side Park
East Britain (Felucca),1718,1571,fel,Fellowship Hall
East Britain (Felucca),1634,1568,fel,Gazebo
East Britain (Felucca),1567,1529,fel,Great Northern Bridge
East Britain (Felucca),1589,1664,fel,Incantations & Enchantments
East Britain (Felucca),1534,1579,fel,Mage's Bridge
East Britain (Felucca),1602,1720,fel,Profuse Provisions
East Britain (Felucca),1554,1664,fel,Right Fit
East Britain (Felucca),1509,1706,fel,River's Gate Bridge
East Britain (Felucca),1574,1720,fel,Sage Advice
East Britain (Felucca),1610,1592,fel,Salty Dog
East Britain (Felucca),1656,1608,fel,Second Britain Bank
East Britain (Felucca),1549,1776,fel,Unicorn's Horn
East Britain (Felucca),1531,1630,fel,Virtue's Pass Bridge
East Britain (Felucca),1618,1768,fel,Watch Tower
East Britain (Felucca),1600,1589,fel,Wayfarer's Inn
Papua (Trammel),1127,1779,tra,Adventure Outfitters
Papua (Trammel),1090,1722,tra,Carpentry House
Papua (Trammel),1127,1728,tra,Healing Hand
Papua (Trammel),1160,1686,tra,Just Inn
Papua (Trammel),1130,1721,tra,Nature's Best Baked Goods
Papua (Trammel),1215,1776,tra,Papua Docks
Papua (Trammel),1143,1781,tra,Papua Tailor
Papua (Trammel),1190,1793,tra,Pier 39
Papua (Trammel),1106,1716,tra,Reagent Shoppe
Papua (Trammel),1188,1798,tra,Revenge Shoppe
Papua (Trammel),1084,1800,tra,Southside Butchery
Papua (Trammel),1065,1797,tra,Southside Stables
Papua (Trammel),1057,1659,tra,Strange Rocks
Papua (Trammel),1115,1761,tra,Tinker's Paradise
Papua (Trammel),1116,1715,tra,Tricks of the Trade
Papua (Trammel),1061,1651,tra,Ye Olde Loan & Savings
Cove (Trammel),2232,1199,tra,Bank of Cove
Cove (Trammel),2442,1120,tra,Cove Cemetery
Cove (Trammel),2255,1192,tra,Cove Docks
Cove (Trammel),2169,1311,tra,Cove Orc Fort
Cove (Trammel),2221,1193,tra,Farmer's Market
Cove (Trammel),2248,1227,tra,Healing Hand
Cove (Trammel),2284,1207,tra,Town Gate
Cove (Trammel),2250,1205,tra,Voidpool Trader
Cove (Trammel),2224,1165,tra,Warrior's Supplies
Cove (Trammel),2216,1114,tra,Watchtower
Comprehensive Guild to Ilshenar Vol. 3,1458,1329,ils,Twisted Weald
Comprehensive Guild to Ilshenar Vol. 3,1542,1195,ils,Forest of Spirituality
Comprehensive Guild to Ilshenar Vol. 3,1759,1202,ils,Blood Dungeon
Comprehensive Guild to Ilshenar Vol. 3,1700,1117,ils,Sacrifice Champ Spawn
Comprehensive Guild to Ilshenar Vol. 3,1695,1063,ils,Tree House
Comprehensive Guild to Ilshenar Vol. 3,1566,1049,ils,Twin Oaks Tavern
Comprehensive Guild to Ilshenar Vol. 3,1664,1000,ils,Nest of Harpies
Comprehensive Guild to Ilshenar Vol. 3,1597,993,ils,Abandoned Tower
Comprehensive Guild to Ilshenar Vol. 3,1496,953,ils,Spider Wood
Comprehensive Guild to Ilshenar Vol. 3,1419,911,ils,Spider Cave
Comprehensive Guild to Ilshenar Vol. 3,1362,1101,ils,Reg Volom
Comprehensive Guild to Ilshenar Vol. 3,1362,1033,ils,Spectre Dungeon
Royal City (Ter Mur),807,3487,ter,Baker
Royal City (Ter Mur),798,3487,ter,Provisioner
Royal City (Ter Mur),783,3487,ter,Healer
Royal City (Ter Mur),778,3485,ter,Mage
Royal City (Ter Mur),778,3476,ter,Alchemist
Royal City (Ter Mur),778,3464,ter,Scribe
Royal City (Ter Mur),793,3451,ter,Farmer's Market
Royal City (Ter Mur),817,3465,ter,Butcher
Royal City (Ter Mur),812,3440,ter,Tinker
Royal City (Ter Mur),810,3423,ter,Blacksmith
Royal City (Ter Mur),813,3428,ter,Carpenter
Royal City (Ter Mur),801,3431,ter,Public Soulforge
Royal City (Ter Mur),785,3431,ter,Jeweler
Royal City (Ter Mur),848,3447,ter,Royal Bank
Royal City (Ter Mur),853,3417,ter,Ter Mur Stables
Royal City (Ter Mur),904,3435,ter,Training Facility
Royal City (Ter Mur),737,3483,ter,Ter Mur Inn
Royal City (Ter Mur),731,3527,ter,Liberal Art School
Royal City (Ter Mur),724,3436,ter,Flea Market
Royal City (Ter Mur),658,3479,ter,Library
Royal City (Ter Mur),666,3416,ter,Museum
Royal City (Ter Mur),682,3363,ter,Trade Facility
Royal City (Ter Mur),766,3318,ter,Falls Park
Royal City (Ter Mur),750,3383,ter,Queen's Soulforge
Royal City (Ter Mur),748,3353,ter,Queen's Throneroom
Royal City (Ter Mur),740,3406,ter,Queen's Palace
Royal City (Ter Mur),806,3405,ter,Tailor
Royal City (Ter Mur),811,3387,ter,Tanner
Royal City (Ter Mur),835,3350,ter,Mystic
Royal City (Ter Mur),881,3495,ter,Refugee Camp (East)
Royal City (Ter Mur),824,3543,ter,Refugee Camp (West)
Royal City (Ter Mur),722,3586,ter,Marshall Arts Academy
Royal City (Ter Mur),621,3407,ter,Refugee Camp (North)
1500 Felucca,1500,200,fel,"1500, 200"
1500 Felucca,1500,281,fel,"1500, 300"
1500 Felucca,1500,619,fel,"1500, 600"
1500 Felucca,1500,700,fel,"1500, 700"
1500 Felucca,1500,800,fel,"1500, 800"
1500 Felucca,1500,901,fel,"1500, 900"
1500 Felucca,1500,1000,fel,"1500, 1000"
1500 Felucca,1500,1100,fel,"1500, 1100"
1500 Felucca,1500,1255,fel,"1500, 1200"
1500 Felucca,1501,1300,fel,"1500, 1300"
1500 Felucca,1496,1392,fel,"1500, 1400"
1500 Felucca,1500,1900,fel,"1500, 1900"
1500 Felucca,1501,2000,fel,"1500, 2000"
1500 Felucca,1500,2100,fel,"1500, 2100"
1500 Felucca,1500,2200,fel,"1500, 2200"
1500 Felucca,1500,2300,fel,"1500, 2300"
1500 Felucca,1500,2400,fel,"1500, 2400"
1500 Felucca,1500,2500,fel,"1500, 2500"
1500 Felucca,1500,2600,fel,"1500, 2600"
1500 Felucca,1500,2699,fel,"1500, 2700"
1500 Felucca,1506,2815,fel,"1500, 2800"
1500 Felucca,1517,2900,fel,"1500, 2900"
1500 Felucca,1516,3000,fel,"1500, 3000"
1500 Felucca,1500,3100,fel,"1500, 3100"
1500 Felucca,1500,3200,fel,"1500, 3200"
1900-2000 Trammel,1900,200,tra,"1900, 200"
1900-2000 Trammel,1900,450,tra,"1900, 450"
1900-2000 Trammel,1900,500,tra,"1900, 500"
1900-2000 Trammel,1900,601,tra,"1900, 600"
1900-2000 Trammel,1900,700,tra,"1900, 700"
1900-2000 Trammel,1900,800,tra,"1900, 800"
1900-2000 Trammel,1900,900,tra,"1900, 900"
1900-2000 Trammel,1900,1000,tra,"1900, 1000"
1900-2000 Trammel,1900,1100,tra,"1900, 1100"
1900-2000 Trammel,1900,1200,tra,"1900, 1200"
1900-2000 Trammel,1900,1300,tra,"1900, 1300"
1900-2000 Trammel,1900,1400,tra,"1900, 1400"
1900-2000 Trammel,1900,2300,tra,"1900, 2300"
1900-2000 Trammel,1900,2400,tra,"1900, 2400"
1900-2000 Trammel,1900,2900,tra,"1900, 2900"
1900-2000 Trammel,1900,3100,tra,"1900, 3100"
1900-2000 Trammel,1900,3200,tra,"1900, 3200"
1900-2000 Trammel,1899,3301,tra,"1900, 3300"
1900-2000 Trammel,1900,3400,tra,"1900, 3400"
1900-2000 Trammel,2000,100,tra,"2000, 100"
1900-2000 Trammel,2000,300,tra,"2000, 300"
1900-2000 Trammel,2000,400,tra,"2000, 400"
1900-2000 Trammel,2000,600,tra,"2000, 600"
1900-2000 Trammel,2000,700,tra,"2000, 700"
1900-2000 Trammel,2000,800,tra,"2000, 800"
1900-2000 Trammel,2000,891,tra,"2000, 900"
1900-2000 Trammel,2000,1000,tra,"2000, 1000"
1900-2000 Trammel,2000,1100,tra,"2000, 1100"
1900-2000 Trammel,2000,1200,tra,"2000, 1200"
1900-2000 Trammel,2000,1300,tra,"2000, 1300"
1900-2000 Trammel,2000,1400,tra,"2000, 1400"
1900-2000 Trammel,2000,1500,tra,"2000, 1500"
1900-2000 Trammel,2000,2300,tra,"2000, 2300"
1900-2000 Trammel,2000,2392,tra,"2000, 2400"
1900-2000 Trammel,2000,3100,tra,"2000, 3100"
1900-2000 Trammel,2000,3200,tra,"2000, 3200"
1900-2000 Trammel,2000,3300,tra,"2000, 3300"
1900-2000 Trammel,2000,3400,tra,"2000, 3400"
100-600 Trammel,120,1375,tra,"100, 1400"
100-600 Trammel,117,1501,tra,"100, 1500"
100-600 Trammel,200,1321,tra,"200, 1300"
100-600 Trammel,200,1400,tra,"200, 1400"
100-600 Trammel,200,1500,tra,"200, 1500"
100-600 Trammel,318,1211,tra,"300, 1200"
100-600 Trammel,300,1338,tra,"300, 1300"
100-600 Trammel,300,1501,tra,"300, 1500"
100-600 Trammel,400,1200,tra,"400, 1200"
100-600 Trammel,400,1300,tra,"400, 1300"
100-600 Trammel,401,1381,tra,"400, 1400"
100-600 Trammel,400,1600,tra,"400, 1600"
100-600 Trammel,400,1689,tra,"400, 1700"
100-600 Trammel,500,1100,tra,"500, 1100"
100-600 Trammel,500,1200,tra,"500, 1200"
100-600 Trammel,512,1296,tra,"500, 1300"
100-600 Trammel,500,1400,tra,"500, 1400"
100-600 Trammel,500,1453,tra,"500, 1500"
100-600 Trammel,500,1600,tra,"500, 1600"
100-600 Trammel,600,1000,tra,"600, 1000"
100-600 Trammel,600,1100,tra,"600, 1100"
100-600 Trammel,600,1300,tra,"600, 1300"
100-600 Trammel,600,1400,tra,"600, 1400"
100-600 Trammel,600,1500,tra,"600, 1500"
100-600 Trammel,600,1651,tra,"600, 1600"
100-600 Trammel,600,1700,tra,"600, 1700"
Cemeteries,2445,1120,tra,Cove Cemetery
Cemeteries,2446,1120,fel,Cove Cemetery
Cemeteries,1381,1494,tra,Britain Cemetery
Cemeteries,1388,1494,fel,Britain Cemetery
Cemeteries,1293,3721,tra,Jhelom Cemetery
Cemeteries,1293,3721,fel,Jhelom Cemetery
Cemeteries,4548,1336,tra,Moonglow Cemetery
Cemeteries,4544,1336,fel,Moonglow Cemetery
Cemeteries,3535,1153,tra,Nujel'm Cemetery
Cemeteries,3535,1153,fel,Nujel'm Cemetery
Cemeteries,1835,2427,tra,Trinsic North Graveyard
Cemeteries,1477,2501,tra,Trinsic West Graveyard
Cemeteries,1986,3198,tra,Trinsic South Graveyard
Cemeteries,1836,2427,fel,Trinsic North Graveyard
Cemeteries,1478,2501,fel,Trinsic West Graveyard
Cemeteries,1987,3198,fel,Trinsic South Graveyard
Cemeteries,2784,866,tra,Vesper Cemetery
Cemeteries,2784,866,fel,Vesper Cemetery
Cemeteries,1084,2170,tra,Lost Cemetery
Cemeteries,1084,2170,fel,Lost Cemetery
Cemeteries,727,1137,tra,Yew Cemetery
Cemeteries,723,1136,fel,Yew Cemetery
Cemeteries,974,762,tra,Yew Crypts
Cemeteries,974,762,fel,Yew Crypts
Cemeteries,763,1394,tra,Lich Ruins
Cemeteries,762,1395,fel,Lich Ruins
Cemeteries,306,895,ils,Humility Graveyard
Cemeteries,824,449,ils,Undead Camp
Cemeteries,2024,1239,mal,Tomb of Maabus
Cemeteries,2361,1268,mal,Doom
Cemeteries,1549,555,mal,White Stone Graveyard
Cemeteries,639,2207,tra,City of the Dead
Cemeteries,640,2206,fel,City of the Dead
Cemeteries,0,0,tra,Fire Graveyard
Cemeteries,0,0,fel,Fire Graveyard
Monster Guide E-G,1612,135,mal,Energy Steed
Monster Guide E-G,38,38,ter,Enslaved Goblin Alchemist
Monster Guide E-G,38,38,ter,Enslaved Goblin Keeper
Monster Guide E-G,38,38,ter,Enslaved Goblin Mage
Monster Guide E-G,38,38,ter,Enslaved Goblin Scout
Monster Guide E-G,0,0,tra,Eternal Gazer
Monster Guide E-G,1362,1063,ils,Ethereal Warrior
Monster Guide E-G,916,1354,ils,Ettin
Monster Guide E-G,2228,160,ils,Evil Mage
Monster Guide E-G,2103,64,ils,Evil Mage Lord
Monster Guide E-G,2141,162,ils,Executioner
Monster Guide E-G,1990,142,ils,Exodus Drone
Monster Guide E-G,1863,124,ils,Exodus Juggernaut
Monster Guide E-G,1927,118,ils,Exodus Minion
Monster Guide E-G,2070,141,ils,Exodus Minion Lord
Monster Guide E-G,2078,104,ils,Exodus Overseer
Monster Guide E-G,2062,59,ils,Exodus Sentinel
Monster Guide E-G,2062,59,ils,Exodus Zealot
Monster Guide E-G,1301,1080,tra,Fairy
Monster Guide E-G,38,41,ter,Fairy Dragon
Monster Guide E-G,980,194,tok,Fan Dancer
Monster Guide E-G,1454,1475,ils,Feral Treefellow
Monster Guide E-G,3785,1096,tra,Fetid Essence
Monster Guide E-G,2042,218,tra,Fezzik The Ogre Cook
Monster Guide E-G,38,39,ter,Fire Ant
Monster Guide E-G,0,0,tra,Fire Beetle
Monster Guide E-G,38,39,ter,Fire Daemon
Monster Guide E-G,0,0,tra,Fire Elemental
Monster Guide E-G,0,0,tra,Fire Gargoyle
Monster Guide E-G,0,0,tra,Fire Steed
Monster Guide E-G,0,0,tra,Flame Elemental
Monster Guide E-G,436,49,mal,Flesh Golem
Monster Guide E-G,412,253,mal,Flesh Renderer
Monster Guide E-G,37,37,ter,Fire Daemon [Renowned]
Monster Guide E-G,37,37,ter,Fire Elemental [Renowned]
Monster Guide E-G,1728,974,mal,Flurry
Monster Guide E-G,1301,1080,tra,Forest Nymph
Monster Guide E-G,37,39,ter,Forgotten Servant
Monster Guide E-G,885,163,tok,Frost Mite
Monster Guide E-G,0,0,fel,Frost Spider
Monster Guide E-G,999,627,mal,Frost Dragon*
Monster Guide E-G,0,0,fel,Frost Ooze
Monster Guide E-G,0,0,fel,Frost Troll
Monster Guide E-G,0,0,tra,Gargoyle
Monster Guide E-G,2386,836,tra,Gargoyle Assassin
Monster Guide E-G,2062,70,ils,Gargoyle Destroyer
Monster Guide E-G,2062,70,ils,Gargoyle Enforcer
Monster Guide E-G,34,185,ter,Gargoyle Shade
Dungeon Entry Quests (Quest),1419,1624,tra,Citadel/Sarakki the Notary
Dungeon Entry Quests (Quest),3792,1101,tra,PoL/Left the Ticket Seller
Dungeon Entry Quests (Quest),534,989,tra,TW/Calendor the Lore Keeper
Dungeon Entry Quests (Quest),995,3805,ter,"ToK/""Onorus"""
Dungeon Entry Quests (Quest),2101,1376,mal,Bedlam/Aernya the Mistress of Admissions
Dungeon Entry Quests (Quest),986,514,mal,Bedlam/Gorrow the Mayor
Dungeon Entry Quests (Quest),564,1651,tra,BG/Jamal the Fisherman
Dungeon Entry Quests (Quest),1355,3756,fel,BG/Ioseph the Exporter
Exterminating the Infestiation Quest Chain,267,1743,ter,Ellie Rafkin
Exterminating the Infestiation Quest Chain,3698,2251,tra,Fred the Gambler
Exterminating the Infestiation Quest Chain,4057,3324,tra,Fortune's Fire Casino
Exterminating the Infestiation Quest Chain,636,2526,tra,Alida the Gardener
Exterminating the Infestiation Quest Chain,651,2529,fel,Vorpal Bunny
Exterminating the Infestiation Quest Chain,272,1731,ter,Foxx the Lieutenant
Exterminating the Infestiation Quest Chain,694,2098,ter,Myrmidon
Exterminating the Infestiation Quest Chain,119,1684,ter,Myrmidon Queen Pit
Dungeons Vol. 1,1526,566,ils,Ancient Citadel
Dungeons Vol. 1,940,503,ils,Ancient Lair
Dungeons Vol. 1,574,1149,ils,Ankh Dungeon
Dungeons Vol. 1,2066,1372,mal,Bedlam
Dungeons Vol. 1,1523,1505,tra,Blackthorn's Dungeon
Dungeons Vol. 1,1520,1420,fel,Blackthorn's Dungeon
Dungeons Vol. 1,588,1644,tra,Blighted Grove
